"","ano","semana_epidemiologica","fecha_inicio_semana_epidemiologica","grupo_etario","departamento_residencia","n_notificaciones","n_confirmados_probables_fis","n_confirmados_por_laboratorio","n_internados_fecha_internacion","n_internados_uti_fecha_internacion","n_fallecidos_confirmados_por_laboratorio","Latitude","Longitud"
"54",2022,51,2022-12-18,"[30,40)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"55",2022,52,2022-12-25,"[20,30)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"56",2022,52,2022-12-25,"[30,40)","COMUNA 1",2,0,0,0,0,0,"-34.602.312","-58.381.772"
"57",2022,52,2022-12-25,"[10,20)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"58",2022,52,2022-12-25,"[30,40)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"59",2022,52,2022-12-25,"[20,30)","COMUNA 13",1,0,0,0,0,0,"-34.721.933","-58.272.752"
"60",2022,52,2022-12-25,"[50,60)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"61",2022,52,2022-12-25,"[10,20)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"62",2022,52,2022-12-25,"[30,40)","SIN DATOS",1,0,0,0,0,0,NA,NA
"63",2023,1,2023-01-01,"[60,70)","COMUNA 11",0,1,1,0,0,0,"-34.692.068","-58.293.894"
"64",2023,1,2023-01-01,"[0,10)","COMUNA 12",0,1,1,0,0,0,"-34.706.587","-58.283.475"
"65",2023,1,2023-01-01,"[30,40)","COMUNA 13",1,0,0,0,0,0,"-34.721.933","-58.272.752"
"66",2023,1,2023-01-01,"[30,40)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"67",2023,1,2023-01-01,"[10,20)","COMUNA 15",0,0,0,1,0,0,"-34.754.920","-58.250.315"
"68",2023,1,2023-01-01,"[20,30)","COMUNA 15",0,2,2,0,0,0,"-34.754.920","-58.250.315"
"69",2023,1,2023-01-01,"[30,40)","COMUNA 15",0,1,1,0,0,0,"-34.754.920","-58.250.315"
"70",2023,1,2023-01-01,"[50,60)","COMUNA 15",0,1,1,0,0,0,"-34.754.920","-58.250.315"
"71",2023,1,2023-01-01,"[0,10)","COMUNA 2",1,0,0,0,0,0,"-34.606.241","-58.374.636"
"72",2023,1,2023-01-01,"[50,60)","COMUNA 2",1,0,0,0,0,0,"-34.606.241","-58.374.636"
"73",2023,1,2023-01-01,"[30,40)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"74",2023,1,2023-01-01,"[40,50)","COMUNA 3",1,1,1,0,0,0,"-34.611.339","-58.366.940"
"75",2023,1,2023-01-01,"[0,10)","COMUNA 4",0,1,1,0,0,0,"-34.617.566","-58.358.616"
"76",2023,1,2023-01-01,"[30,40)","COMUNA 4",0,1,1,0,0,0,"-34.617.566","-58.358.616"
"77",2023,1,2023-01-01,"[10,20)","COMUNA 5",0,1,1,0,0,0,"-34.624.987","-58.350.197"
"78",2023,1,2023-01-01,"[50,60)","COMUNA 5",0,1,1,0,0,0,"-34.624.987","-58.350.197"
"79",2023,1,2023-01-01,"[40,50)","COMUNA 6",0,1,1,0,0,0,"-34.633.553","-58.341.546"
"80",2023,1,2023-01-01,"[10,20)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"81",2023,1,2023-01-01,"[30,40)","COMUNA 8",0,1,1,0,0,0,"-34.653.956","-58.323.426"
"82",2023,1,2023-01-01,"[50,60)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"83",2023,2,2023-01-08,"[40,50)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"84",2023,2,2023-01-08,"[0,10)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"85",2023,2,2023-01-08,"[40,50)","COMUNA 13",1,1,1,0,0,0,"-34.721.933","-58.272.752"
"86",2023,2,2023-01-08,"[60,70)","COMUNA 14",0,1,0,0,0,0,"-34.738.059","-58.261.706"
"87",2023,2,2023-01-08,"[0,10)","COMUNA 15",1,0,0,0,0,0,"-34.754.920","-58.250.315"
"88",2023,2,2023-01-08,"[20,30)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"89",2023,2,2023-01-08,"[30,40)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"90",2023,2,2023-01-08,"[40,50)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"91",2023,2,2023-01-08,"[50,60)","COMUNA 5",1,0,0,1,1,0,"-34.624.987","-58.350.197"
"92",2023,2,2023-01-08,"[20,30)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"93",2023,2,2023-01-08,"[20,30)","COMUNA 7",2,0,0,0,0,0,"-34.643.225","-58.332.644"
"94",2023,2,2023-01-08,"[20,30)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"95",2023,2,2023-01-08,"[40,50)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"96",2023,2,2023-01-08,"[0,10)","COMUNA 9",2,0,0,0,0,0,"-34.665.705","-58.313.885"
"97",2023,2,2023-01-08,"[40,50)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"98",2023,2,2023-01-08,"[0,10)","SIN DATOS",0,1,0,0,0,0,NA,NA
"99",2023,3,2023-01-15,"[30,40)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"100",2023,3,2023-01-15,"[50,60)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"101",2023,3,2023-01-15,"[20,30)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"102",2023,3,2023-01-15,"[50,60)","COMUNA 11",0,1,1,0,0,0,"-34.692.068","-58.293.894"
"103",2023,3,2023-01-15,"[10,20)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"104",2023,3,2023-01-15,"[0,10)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"105",2023,3,2023-01-15,"[30,40)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"106",2023,3,2023-01-15,"[40,50)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"107",2023,3,2023-01-15,"[50,60)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"108",2023,3,2023-01-15,"[30,40)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"109",2023,3,2023-01-15,"[40,50)","COMUNA 9",0,0,0,1,0,0,"-34.665.705","-58.313.885"
"110",2023,3,2023-01-15,"[30,40)","SIN DATOS",1,0,0,0,0,0,NA,NA
"111",2023,4,2023-01-22,"[10,20)","COMUNA 10",2,0,0,0,0,0,"-34.678.425","-58.304.051"
"112",2023,4,2023-01-22,"[50,60)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"113",2023,4,2023-01-22,"[70,80)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"114",2023,4,2023-01-22,"[40,50)","COMUNA 11",0,1,1,0,0,0,"-34.692.068","-58.293.894"
"115",2023,4,2023-01-22,"[50,60)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"116",2023,4,2023-01-22,"[70,80)","COMUNA 12",1,0,0,0,0,0,"-34.706.587","-58.283.475"
"117",2023,4,2023-01-22,"[60,70)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"118",2023,4,2023-01-22,"[60,70)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"119",2023,4,2023-01-22,"[30,40)","COMUNA 7",0,1,1,0,0,0,"-34.643.225","-58.332.644"
"120",2023,4,2023-01-22,"[40,50)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"121",2023,4,2023-01-22,"[20,30)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"122",2023,4,2023-01-22,"[10,20)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"123",2023,4,2023-01-22,"[30,40)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"124",2023,4,2023-01-22,"[40,50)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"125",2023,4,2023-01-22,"[50,60)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"126",2023,4,2023-01-22,"[30,40)","SIN DATOS",2,0,0,0,0,0,NA,NA
"127",2023,5,2023-01-29,"[0,10)","COMUNA 1",0,1,0,0,0,0,"-34.602.312","-58.381.772"
"128",2023,5,2023-01-29,"[20,30)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"129",2023,5,2023-01-29,"[50,60)","COMUNA 1",0,1,1,0,0,0,"-34.602.312","-58.381.772"
"130",2023,5,2023-01-29,"[30,40)","COMUNA 11",0,1,0,0,0,0,"-34.692.068","-58.293.894"
"131",2023,5,2023-01-29,"[40,50)","COMUNA 11",2,2,1,0,0,0,"-34.692.068","-58.293.894"
"132",2023,5,2023-01-29,"[70,80)","COMUNA 11",0,1,1,0,0,0,"-34.692.068","-58.293.894"
"133",2023,5,2023-01-29,"[20,30)","COMUNA 13",1,0,0,0,0,0,"-34.721.933","-58.272.752"
"134",2023,5,2023-01-29,"[50,60)","COMUNA 13",1,0,0,0,0,0,"-34.721.933","-58.272.752"
"135",2023,5,2023-01-29,"[30,40)","COMUNA 3",0,1,1,0,0,0,"-34.611.339","-58.366.940"
"136",2023,5,2023-01-29,"[40,50)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"137",2023,5,2023-01-29,"[30,40)","COMUNA 4",2,1,1,0,0,0,"-34.617.566","-58.358.616"
"138",2023,5,2023-01-29,"[40,50)","COMUNA 4",0,1,1,0,0,0,"-34.617.566","-58.358.616"
"139",2023,5,2023-01-29,"[50,60)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"140",2023,5,2023-01-29,"[20,30)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"141",2023,5,2023-01-29,"[0,10)","COMUNA 7",0,1,1,0,0,0,"-34.643.225","-58.332.644"
"142",2023,5,2023-01-29,"[30,40)","COMUNA 7",1,1,1,0,0,0,"-34.643.225","-58.332.644"
"143",2023,5,2023-01-29,"[40,50)","COMUNA 7",1,2,1,0,0,0,"-34.643.225","-58.332.644"
"144",2023,5,2023-01-29,"[20,30)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"145",2023,5,2023-01-29,"[30,40)","COMUNA 8",2,0,0,0,0,0,"-34.653.956","-58.323.426"
"146",2023,5,2023-01-29,"[20,30)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"147",2023,5,2023-01-29,"[40,50)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"148",2023,5,2023-01-29,"[50,60)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"149",2023,5,2023-01-29,"[60,70)","COMUNA 9",0,1,1,0,0,0,"-34.665.705","-58.313.885"
"150",2023,5,2023-01-29,"[30,40)","SIN DATOS",1,0,0,0,0,0,NA,NA
"151",2023,6,2023-02-05,"[10,20)","COMUNA 1",0,1,1,0,0,0,"-34.602.312","-58.381.772"
"152",2023,6,2023-02-05,"[40,50)","COMUNA 1",0,1,1,0,0,0,"-34.602.312","-58.381.772"
"153",2023,6,2023-02-05,"[10,20)","COMUNA 10",0,1,1,0,0,0,"-34.678.425","-58.304.051"
"154",2023,6,2023-02-05,"[60,70)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"155",2023,6,2023-02-05,"[70,80)","COMUNA 10",0,1,1,0,0,0,"-34.678.425","-58.304.051"
